conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"kras$\Delta$, DNAdam, chek1i/mk2i",143,model0101.bnet,0.371,1.0,0.487,0.513,0.513,0.513,,0.371,0.371,0.859,1.0,,0.546,0.513,1.0,0.371,1.0,
"wt, no DNAdam",144,model0101.bnet,,0.801,,0.163,0.163,0.163,0.801,,,0.801,0.801,,0.288,0.288,0.801,,0.801,
"kras$\Delta$, no DNAdam, 0/0",144,model0101.bnet,,1.0,,,,,1.0,,,0.795,1.0,,0.199,0.199,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",144,model0101.bnet,0.366,1.0,0.482,,,,1.0,0.366,0.366,0.862,1.0,0.366,0.052,0.037,1.0,0.366,1.0,
"kras$\Delta$, DNAdam, chek1i/0",144,model0101.bnet,0.354,1.0,0.471,0.53,0.53,0.53,,0.354,0.354,0.855,1.0,0.354,0.55,0.53,1.0,0.354,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",144,model0101.bnet,0.374,1.0,0.503,0.496,0.496,0.496,,0.374,0.374,0.865,1.0,0.374,0.519,0.495,1.0,0.374,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",144,model0101.bnet,0.358,1.0,0.49,0.51,0.51,0.51,,0.358,0.358,0.862,1.0,,0.535,0.51,1.0,0.358,1.0,
"wt, no DNAdam",145,model0101.bnet,,0.813,,0.155,0.155,0.155,0.813,,,0.813,0.813,,0.282,0.282,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",145,model0101.bnet,,1.0,,,,,1.0,,,0.798,1.0,,0.194,0.194,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",145,model0101.bnet,0.373,1.0,0.478,,,,1.0,0.373,0.373,0.846,1.0,0.373,0.055,0.038,1.0,0.373,1.0,
"kras$\Delta$, DNAdam, chek1i/0",145,model0101.bnet,0.378,1.0,0.492,0.508,0.508,0.508,,0.378,0.378,0.866,1.0,0.378,0.53,0.508,1.0,0.378,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",145,model0101.bnet,0.366,1.0,0.478,0.522,0.522,0.522,,0.366,0.366,0.851,1.0,0.366,0.544,0.522,1.0,0.366,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",145,model0101.bnet,0.376,1.0,0.496,0.504,0.504,0.504,,0.376,0.376,0.878,1.0,,0.524,0.504,1.0,0.376,1.0,
"wt, no DNAdam",146,model0101.bnet,,0.812,,0.146,0.146,0.146,0.812,,,0.812,0.812,,0.275,0.275,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",146,model0101.bnet,,1.0,,,,,1.0,,,0.801,1.0,,0.2,0.2,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",146,model0101.bnet,0.364,1.0,0.483,,,,1.0,0.364,0.364,0.85,1.0,0.364,0.05,0.034,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/0",146,model0101.bnet,0.353,1.0,0.472,0.528,0.528,0.528,,0.353,0.353,0.855,1.0,0.353,0.548,0.528,1.0,0.353,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",146,model0101.bnet,0.372,1.0,0.482,0.518,0.518,0.518,,0.372,0.372,0.855,1.0,0.372,0.538,0.518,1.0,0.372,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",146,model0101.bnet,0.354,1.0,0.47,0.53,0.53,0.53,,0.354,0.354,0.849,1.0,,0.554,0.53,1.0,0.354,1.0,
"wt, no DNAdam",147,model0101.bnet,,0.822,,0.142,0.142,0.142,0.822,,,0.822,0.822,,0.548,0.548,0.822,,0.822,
"kras$\Delta$, no DNAdam, 0/0",147,model0101.bnet,,1.0,,,,,1.0,,,0.8,1.0,,0.565,0.565,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",147,model0101.bnet,0.397,1.0,0.512,,,,1.0,0.397,0.397,0.862,1.0,0.397,0.164,0.096,1.0,0.397,1.0,
"kras$\Delta$, DNAdam, chek1i/0",147,model0101.bnet,0.397,1.0,0.515,0.485,0.485,0.485,,0.397,0.397,0.858,1.0,0.397,0.578,0.485,1.0,0.397,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",147,model0101.bnet,0.375,1.0,0.5,0.5,0.5,0.5,,0.375,0.375,0.838,1.0,0.375,0.586,0.5,1.0,0.375,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",147,model0101.bnet,0.41,1.0,0.525,0.475,0.475,0.475,,0.41,0.41,0.854,1.0,,0.578,0.475,1.0,0.41,1.0,
"wt, no DNAdam",148,model0101.bnet,,0.834,,0.137,0.137,0.137,0.834,,,0.834,0.834,,0.537,0.537,0.834,,0.834,
"kras$\Delta$, no DNAdam, 0/0",148,model0101.bnet,,1.0,,,,,1.0,,,0.804,1.0,,0.552,0.552,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",148,model0101.bnet,0.367,1.0,0.488,,,,1.0,0.367,0.367,0.842,1.0,0.367,0.172,0.101,1.0,0.367,1.0,
"kras$\Delta$, DNAdam, chek1i/0",148,model0101.bnet,0.409,1.0,0.52,0.48,0.48,0.48,,0.409,0.409,0.86,1.0,0.409,0.569,0.48,1.0,0.409,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",148,model0101.bnet,0.399,1.0,0.526,0.475,0.475,0.475,,0.399,0.399,0.847,1.0,0.399,0.582,0.475,1.0,0.399,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",148,model0101.bnet,0.402,1.0,0.524,0.476,0.476,0.476,,0.402,0.402,0.841,1.0,,0.588,0.476,1.0,0.402,1.0,
"wt, no DNAdam",149,model0101.bnet,,0.8,,0.164,0.164,0.164,0.8,,,0.8,0.8,,0.57,0.57,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",149,model0101.bnet,,1.0,,,,,1.0,,,0.8,1.0,,0.536,0.536,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",149,model0101.bnet,0.4,1.0,0.515,,,,1.0,0.4,0.4,0.861,1.0,0.4,0.179,0.1,1.0,0.4,1.0,
"kras$\Delta$, DNAdam, chek1i/0",149,model0101.bnet,0.402,1.0,0.52,0.48,0.48,0.48,,0.402,0.402,0.86,1.0,0.402,0.573,0.48,1.0,0.402,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",149,model0101.bnet,0.401,1.0,0.51,0.49,0.49,0.49,,0.401,0.401,0.851,1.0,0.401,0.584,0.49,1.0,0.401,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",149,model0101.bnet,0.388,1.0,0.508,0.492,0.492,0.492,,0.388,0.388,0.863,1.0,,0.582,0.492,1.0,0.388,1.0,
"wt, no DNAdam",150,model0101.bnet,,0.796,,0.166,0.166,0.166,0.796,,,0.796,0.796,,0.624,0.624,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",150,model0101.bnet,,1.0,,,,,1.0,,,0.798,1.0,,0.614,0.614,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",150,model0101.bnet,0.402,1.0,0.524,,,,1.0,0.402,0.402,0.862,1.0,0.402,0.21,0.093,1.0,0.402,1.0,
"kras$\Delta$, DNAdam, chek1i/0",150,model0101.bnet,0.416,1.0,0.544,0.456,0.456,0.456,,0.416,0.416,0.856,1.0,0.416,0.6,0.456,1.0,0.416,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",150,model0101.bnet,0.424,1.0,0.541,0.46,0.46,0.46,,0.424,0.424,0.864,1.0,0.424,0.608,0.46,1.0,0.424,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",150,model0101.bnet,0.434,1.0,0.55,0.45,0.45,0.45,,0.434,0.434,0.857,1.0,,0.606,0.45,1.0,0.434,1.0,
"wt, no DNAdam",151,model0101.bnet,,0.796,,0.168,0.168,0.168,0.796,,,0.796,0.796,,0.613,0.613,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",151,model0101.bnet,,1.0,,,,,1.0,,,0.798,1.0,,0.609,0.609,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",151,model0101.bnet,0.404,1.0,0.523,,,,1.0,0.404,0.404,0.857,1.0,0.404,0.219,0.108,1.0,0.404,1.0,
"kras$\Delta$, DNAdam, chek1i/0",151,model0101.bnet,0.416,1.0,0.528,0.472,0.472,0.472,,0.416,0.416,0.849,1.0,0.416,0.625,0.472,1.0,0.416,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",151,model0101.bnet,0.429,1.0,0.544,0.456,0.456,0.456,,0.429,0.429,0.85,1.0,0.429,0.614,0.456,1.0,0.429,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",151,model0101.bnet,0.448,1.0,0.57,0.43,0.43,0.43,,0.448,0.448,0.856,1.0,,0.588,0.43,1.0,0.448,1.0,
"wt, no DNAdam",152,model0101.bnet,,0.8,,0.172,0.172,0.172,0.8,,,0.8,0.8,,0.626,0.626,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",152,model0101.bnet,,1.0,,,,,1.0,,,0.82,1.0,,0.62,0.62,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",152,model0101.bnet,0.42,1.0,0.549,,,,1.0,0.42,0.42,0.868,1.0,0.42,0.222,0.094,1.0,0.42,1.0,
"kras$\Delta$, DNAdam, chek1i/0",152,model0101.bnet,0.434,1.0,0.568,0.432,0.432,0.432,,0.434,0.434,0.854,1.0,0.434,0.594,0.432,1.0,0.434,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",152,model0101.bnet,0.41,1.0,0.53,0.471,0.471,0.471,,0.41,0.41,0.854,1.0,0.41,0.624,0.471,1.0,0.41,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",152,model0101.bnet,0.424,1.0,0.544,0.456,0.456,0.456,,0.424,0.424,0.848,1.0,,0.609,0.456,1.0,0.424,1.0,
"wt, no DNAdam",153,model0101.bnet,,0.784,,0.178,0.178,0.178,0.784,,,0.784,0.784,,0.346,0.346,0.784,,0.784,
"kras$\Delta$, no DNAdam, 0/0",153,model0101.bnet,,1.0,,,,,1.0,,,0.806,1.0,,0.272,0.272,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",153,model0101.bnet,0.363,1.0,0.496,,,,1.0,0.363,0.363,0.853,1.0,0.363,0.073,0.045,1.0,0.363,1.0,
"kras$\Delta$, DNAdam, chek1i/0",153,model0101.bnet,0.368,1.0,0.492,0.508,0.508,0.508,,0.368,0.368,0.86,1.0,0.368,0.542,0.508,1.0,0.368,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",153,model0101.bnet,0.355,1.0,0.494,0.506,0.506,0.506,,0.355,0.355,0.861,1.0,0.355,0.539,0.505,1.0,0.355,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",153,model0101.bnet,0.374,1.0,0.498,0.502,0.502,0.502,,0.374,0.374,0.86,1.0,,0.532,0.502,1.0,0.374,1.0,
"wt, no DNAdam",154,model0101.bnet,,0.818,,0.14,0.14,0.14,0.818,,,0.818,0.818,,0.32,0.32,0.818,,0.818,
"kras$\Delta$, no DNAdam, 0/0",154,model0101.bnet,,1.0,,,,,1.0,,,0.796,1.0,,0.256,0.256,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",154,model0101.bnet,0.37,1.0,0.489,,,,1.0,0.37,0.37,0.853,1.0,0.37,0.069,0.048,1.0,0.37,1.0,
"kras$\Delta$, DNAdam, chek1i/0",154,model0101.bnet,0.372,1.0,0.5,0.5,0.5,0.5,,0.372,0.372,0.856,1.0,0.372,0.532,0.5,1.0,0.372,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",154,model0101.bnet,0.364,1.0,0.489,0.511,0.511,0.511,,0.364,0.364,0.854,1.0,0.364,0.538,0.511,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",154,model0101.bnet,0.384,1.0,0.5,0.5,0.5,0.5,,0.384,0.384,0.85,1.0,,0.538,0.5,1.0,0.384,1.0,
"wt, no DNAdam",155,model0101.bnet,,0.82,,0.146,0.146,0.146,0.82,,,0.82,0.82,,0.334,0.334,0.82,,0.82,
"kras$\Delta$, no DNAdam, 0/0",155,model0101.bnet,,1.0,,,,,1.0,,,0.786,1.0,,0.268,0.268,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",155,model0101.bnet,0.358,1.0,0.484,,,,1.0,0.358,0.358,0.855,1.0,0.358,0.067,0.042,1.0,0.358,1.0,
"kras$\Delta$, DNAdam, chek1i/0",155,model0101.bnet,0.364,1.0,0.468,0.532,0.532,0.532,,0.364,0.364,0.852,1.0,0.364,0.562,0.532,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",155,model0101.bnet,0.374,1.0,0.498,0.502,0.502,0.502,,0.374,0.374,0.857,1.0,0.374,0.534,0.502,1.0,0.374,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",155,model0101.bnet,0.364,1.0,0.499,0.501,0.501,0.501,,0.364,0.364,0.857,1.0,,0.536,0.501,1.0,0.364,1.0,
"wt, no DNAdam",156,model0101.bnet,,0.792,,0.159,0.159,0.159,0.792,,,0.792,0.792,,0.692,0.692,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",156,model0101.bnet,,1.0,,,,,1.0,,,0.812,1.0,,0.672,0.672,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",156,model0101.bnet,0.41,1.0,0.539,,,,1.0,0.41,0.41,0.857,1.0,0.41,0.239,0.112,1.0,0.41,1.0,
"kras$\Delta$, DNAdam, chek1i/0",156,model0101.bnet,0.425,1.0,0.56,0.44,0.44,0.44,,0.425,0.425,0.851,1.0,0.425,0.6,0.44,1.0,0.425,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",156,model0101.bnet,0.445,1.0,0.564,0.436,0.436,0.436,,0.445,0.445,0.86,1.0,0.445,0.607,0.436,1.0,0.445,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",156,model0101.bnet,0.429,1.0,0.552,0.448,0.448,0.448,,0.429,0.429,0.846,1.0,,0.608,0.448,1.0,0.429,1.0,
"wt, no DNAdam",157,model0101.bnet,,0.802,,0.163,0.163,0.163,0.802,,,0.802,0.802,,0.676,0.676,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",157,model0101.bnet,,1.0,,,,,1.0,,,0.808,1.0,,0.686,0.686,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",157,model0101.bnet,0.412,1.0,0.544,,,,1.0,0.412,0.412,0.86,1.0,0.412,0.234,0.119,1.0,0.412,1.0,
"kras$\Delta$, DNAdam, chek1i/0",157,model0101.bnet,0.442,1.0,0.57,0.43,0.43,0.43,,0.442,0.442,0.858,1.0,0.442,0.593,0.43,1.0,0.442,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",157,model0101.bnet,0.43,1.0,0.55,0.45,0.45,0.45,,0.43,0.43,0.844,1.0,0.43,0.606,0.45,1.0,0.43,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",157,model0101.bnet,0.417,1.0,0.55,0.45,0.45,0.45,,0.417,0.417,0.862,1.0,,0.606,0.45,1.0,0.417,1.0,
"wt, no DNAdam",158,model0101.bnet,,0.808,,0.151,0.151,0.151,0.808,,,0.808,0.808,,0.684,0.684,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",158,model0101.bnet,,1.0,,,,,1.0,,,0.8,1.0,,0.66,0.66,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",158,model0101.bnet,0.401,1.0,0.523,,,,1.0,0.401,0.401,0.859,1.0,0.401,0.251,0.12,1.0,0.401,1.0,
"kras$\Delta$, DNAdam, chek1i/0",158,model0101.bnet,0.439,1.0,0.555,0.445,0.445,0.445,,0.439,0.439,0.856,1.0,0.439,0.602,0.445,1.0,0.439,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",158,model0101.bnet,0.436,1.0,0.558,0.442,0.442,0.442,,0.436,0.436,0.85,1.0,0.436,0.61,0.442,1.0,0.436,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",158,model0101.bnet,0.43,1.0,0.54,0.46,0.46,0.46,,0.43,0.43,0.848,1.0,,0.622,0.46,1.0,0.43,1.0,
"wt, no DNAdam",159,model0101.bnet,,0.818,,0.152,0.152,0.152,0.818,,,0.818,0.818,,0.706,0.706,0.818,,0.818,
"kras$\Delta$, no DNAdam, 0/0",159,model0101.bnet,,1.0,,,,,1.0,,,0.804,1.0,,0.728,0.728,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",159,model0101.bnet,0.468,1.0,0.587,,,,1.0,0.468,0.468,0.856,1.0,0.468,0.312,0.102,1.0,0.468,1.0,
"kras$\Delta$, DNAdam, chek1i/0",159,model0101.bnet,0.476,1.0,0.586,0.414,0.414,0.414,,0.476,0.476,0.862,1.0,0.476,0.659,0.414,1.0,0.476,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",159,model0101.bnet,0.485,1.0,0.602,0.398,0.398,0.398,,0.485,0.485,0.847,1.0,0.485,0.657,0.398,1.0,0.485,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",159,model0101.bnet,0.488,1.0,0.613,0.387,0.387,0.387,,0.488,0.488,0.856,1.0,,0.655,0.387,1.0,0.488,1.0,
"wt, no DNAdam",160,model0101.bnet,,0.816,,0.153,0.153,0.153,0.816,,,0.816,0.816,,0.71,0.71,0.816,,0.816,
"kras$\Delta$, no DNAdam, 0/0",160,model0101.bnet,,1.0,,,,,1.0,,,0.8,1.0,,0.73,0.73,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",160,model0101.bnet,0.452,1.0,0.567,,,,1.0,0.452,0.452,0.852,1.0,0.452,0.302,0.104,1.0,0.452,1.0,
"kras$\Delta$, DNAdam, chek1i/0",160,model0101.bnet,0.478,1.0,0.589,0.411,0.411,0.411,,0.478,0.478,0.862,1.0,0.478,0.648,0.411,1.0,0.478,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",160,model0101.bnet,0.488,1.0,0.606,0.393,0.393,0.393,,0.488,0.488,0.853,1.0,0.488,0.663,0.393,1.0,0.488,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",160,model0101.bnet,0.489,1.0,0.61,0.39,0.39,0.39,,0.489,0.489,0.85,1.0,,0.645,0.39,1.0,0.489,1.0,
"wt, no DNAdam",161,model0101.bnet,,0.822,,0.148,0.148,0.148,0.822,,,0.822,0.822,,0.702,0.702,0.822,,0.822,
"kras$\Delta$, no DNAdam, 0/0",161,model0101.bnet,,1.0,,,,,1.0,,,0.796,1.0,,0.702,0.702,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",161,model0101.bnet,0.443,1.0,0.572,,,,1.0,0.443,0.443,0.861,1.0,0.443,0.306,0.109,1.0,0.443,1.0,
"kras$\Delta$, DNAdam, chek1i/0",161,model0101.bnet,0.476,1.0,0.582,0.418,0.418,0.418,,0.476,0.476,0.858,1.0,0.476,0.661,0.418,1.0,0.476,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",161,model0101.bnet,0.499,1.0,0.618,0.382,0.382,0.382,,0.499,0.499,0.853,1.0,0.499,0.654,0.382,1.0,0.499,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",161,model0101.bnet,0.494,1.0,0.614,0.386,0.386,0.386,,0.494,0.494,0.844,1.0,,0.652,0.386,1.0,0.494,1.0,
"wt, no DNAdam",162,model0101.bnet,,0.804,,0.041,0.041,0.041,0.804,,,0.804,0.804,,0.044,0.044,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",162,model0101.bnet,,1.0,,,,,1.0,,,0.804,1.0,,0.008,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",162,model0101.bnet,0.242,1.0,0.26,,,,1.0,0.242,0.242,0.841,1.0,0.242,0.002,0.002,1.0,0.242,1.0,
"kras$\Delta$, DNAdam, chek1i/0",162,model0101.bnet,0.229,1.0,0.253,0.747,0.743,0.746,,0.229,0.229,0.849,1.0,0.229,0.744,0.744,1.0,0.229,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",162,model0101.bnet,0.248,1.0,0.269,0.731,0.726,0.73,,0.248,0.248,0.843,1.0,0.248,0.729,0.728,1.0,0.248,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",162,model0101.bnet,0.219,1.0,0.236,0.764,0.762,0.763,,0.219,0.219,0.845,1.0,,0.762,0.762,1.0,0.219,1.0,
"wt, no DNAdam",163,model0101.bnet,,0.802,,0.042,0.042,0.042,0.802,,,0.802,0.802,,0.045,0.045,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",163,model0101.bnet,,1.0,,,,,1.0,,,0.817,1.0,,0.008,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",163,model0101.bnet,0.244,1.0,0.268,,,,1.0,0.244,0.244,0.844,1.0,0.244,0.005,0.004,1.0,0.244,1.0,
"kras$\Delta$, DNAdam, chek1i/0",163,model0101.bnet,0.24,1.0,0.264,0.735,0.731,0.735,,0.24,0.24,0.854,1.0,0.24,0.732,0.732,1.0,0.24,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",163,model0101.bnet,0.224,1.0,0.251,0.749,0.747,0.748,,0.224,0.224,0.867,1.0,0.224,0.745,0.745,1.0,0.224,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",163,model0101.bnet,0.222,1.0,0.244,0.756,0.754,0.754,,0.222,0.222,0.85,1.0,,0.75,0.748,1.0,0.222,1.0,
"wt, no DNAdam",164,model0101.bnet,,0.818,,0.031,0.031,0.031,0.818,,,0.818,0.818,,0.034,0.034,0.818,,0.818,
"kras$\Delta$, no DNAdam, 0/0",164,model0101.bnet,,1.0,,,,,1.0,,,0.802,1.0,,0.01,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",164,model0101.bnet,0.231,1.0,0.25,,,,1.0,0.231,0.231,0.856,1.0,0.231,0.003,0.003,1.0,0.231,1.0,
"kras$\Delta$, DNAdam, chek1i/0",164,model0101.bnet,0.253,1.0,0.276,0.724,0.721,0.724,,0.253,0.253,0.85,1.0,0.253,0.722,0.722,1.0,0.253,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",164,model0101.bnet,0.231,1.0,0.256,0.744,0.742,0.743,,0.231,0.231,0.847,1.0,0.231,0.741,0.74,1.0,0.231,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",164,model0101.bnet,0.232,1.0,0.255,0.745,0.74,0.744,,0.232,0.232,0.851,1.0,,0.74,0.739,1.0,0.232,1.0,
"wt, no DNAdam",165,model0101.bnet,,0.8,,0.032,0.032,0.032,0.8,,,0.8,0.8,,0.047,0.047,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",165,model0101.bnet,,1.0,,,,,1.0,,,0.802,1.0,,0.03,0.03,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",165,model0101.bnet,0.231,1.0,0.257,,,,1.0,0.231,0.231,0.846,1.0,0.231,0.008,0.007,1.0,0.231,1.0,
"kras$\Delta$, DNAdam, chek1i/0",165,model0101.bnet,0.237,1.0,0.257,0.742,0.738,0.741,,0.237,0.237,0.825,1.0,0.237,0.741,0.741,1.0,0.237,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",165,model0101.bnet,0.237,1.0,0.256,0.744,0.74,0.744,,0.237,0.237,0.845,1.0,0.237,0.746,0.744,1.0,0.237,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",165,model0101.bnet,0.248,1.0,0.272,0.727,0.726,0.726,,0.248,0.248,0.864,1.0,,0.728,0.726,1.0,0.248,1.0,
"wt, no DNAdam",166,model0101.bnet,,0.804,,0.039,0.039,0.039,0.804,,,0.804,0.804,,0.056,0.056,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",166,model0101.bnet,,1.0,,,,,1.0,,,0.808,1.0,,0.034,0.034,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",166,model0101.bnet,0.248,1.0,0.272,,,,1.0,0.248,0.248,0.85,1.0,0.248,0.007,0.005,1.0,0.248,1.0,
"kras$\Delta$, DNAdam, chek1i/0",166,model0101.bnet,0.243,1.0,0.264,0.736,0.734,0.736,,0.243,0.243,0.829,1.0,0.243,0.737,0.736,1.0,0.243,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",166,model0101.bnet,0.236,1.0,0.258,0.742,0.738,0.741,,0.236,0.236,0.847,1.0,0.236,0.742,0.741,1.0,0.236,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",166,model0101.bnet,0.242,1.0,0.277,0.723,0.718,0.722,,0.242,0.242,0.839,1.0,,0.724,0.722,1.0,0.242,1.0,
"wt, no DNAdam",167,model0101.bnet,,0.798,,0.046,0.046,0.046,0.798,,,0.798,0.798,,0.056,0.056,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",167,model0101.bnet,,1.0,,,,,1.0,,,0.817,1.0,,0.03,0.03,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",167,model0101.bnet,0.232,1.0,0.258,,,,1.0,0.232,0.232,0.86,1.0,0.232,0.008,0.008,1.0,0.232,1.0,
"kras$\Delta$, DNAdam, chek1i/0",167,model0101.bnet,0.24,1.0,0.26,0.74,0.735,0.739,,0.24,0.24,0.842,1.0,0.24,0.74,0.739,1.0,0.24,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",167,model0101.bnet,0.244,1.0,0.269,0.731,0.73,0.73,,0.244,0.244,0.844,1.0,0.244,0.731,0.73,1.0,0.244,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",167,model0101.bnet,0.235,1.0,0.26,0.739,0.737,0.739,,0.235,0.235,0.832,1.0,,0.74,0.739,1.0,0.235,1.0,
"wt, no DNAdam",168,model0101.bnet,,0.816,,0.039,0.039,0.039,0.816,,,0.816,0.816,,0.052,0.052,0.816,,0.816,
"kras$\Delta$, no DNAdam, 0/0",168,model0101.bnet,,1.0,,,,,1.0,,,0.804,1.0,,0.04,0.04,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",168,model0101.bnet,0.22,1.0,0.252,,,,1.0,0.22,0.22,0.849,1.0,0.22,0.009,0.008,1.0,0.22,1.0,
"kras$\Delta$, DNAdam, chek1i/0",168,model0101.bnet,0.22,1.0,0.244,0.756,0.754,0.756,,0.22,0.22,0.859,1.0,0.22,0.759,0.756,1.0,0.22,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",168,model0101.bnet,0.242,1.0,0.263,0.737,0.732,0.736,,0.242,0.242,0.852,1.0,0.242,0.74,0.736,1.0,0.242,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",168,model0101.bnet,0.243,1.0,0.266,0.734,0.729,0.732,,0.243,0.243,0.854,1.0,,0.737,0.733,1.0,0.243,1.0,
"wt, no DNAdam",169,model0101.bnet,,0.792,,0.044,0.044,0.044,0.792,,,0.792,0.792,,0.06,0.06,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",169,model0101.bnet,,1.0,,,,,1.0,,,0.804,1.0,,0.032,0.032,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",169,model0101.bnet,0.218,1.0,0.241,,,,1.0,0.218,0.218,0.846,1.0,0.218,0.01,0.009,1.0,0.218,1.0,
"kras$\Delta$, DNAdam, chek1i/0",169,model0101.bnet,0.254,1.0,0.278,0.722,0.718,0.722,,0.254,0.254,0.851,1.0,0.254,0.723,0.722,1.0,0.254,1.0,
